epoch,loss,lr,val_loss
0,0.3596147298812866,0.001,0.1257781982421875
1,0.37795910239219666,0.001,0.12719036638736725
2,0.3610198497772217,0.001,0.11413358151912689
3,0.3776252269744873,0.001,0.16424565017223358
4,0.4130646288394928,0.001,0.20849749445915222
5,0.49301275610923767,0.001,0.12463441491127014
6,0.5089665055274963,0.001,0.31601351499557495
7,0.8624416589736938,0.001,0.5674479007720947
8,1.0667603015899658,0.001,1.0180635452270508
9,3.247952699661255,0.001,2.3513219356536865
10,3.10737681388855,0.000100000005,0.28783562779426575
11,0.6059959530830383,0.000100000005,0.22753040492534637
